date_id,date,year,quarter,month,month_name,day,day_of_week,day_name,week_of_year,is_weekend
20161021,2016-10-21,2016,4,10,October,21,5,Friday,42,0
20161022,2016-10-22,2016,4,10,October,22,6,Saturday,42,1
20161023,2016-10-23,2016,4,10,October,23,7,Sunday,42,1
20161024,2016-10-24,2016,4,10,October,24,1,Monday,43,0
20161025,2016-10-25,2016,4,10,October,25,2,Tuesday,43,0
20161026,2016-10-26,2016,4,10,October,26,3,Wednesday,43,0
20161027,2016-10-27,2016,4,10,October,27,4,Thursday,43,0
20161028,2016-10-28,2016,4,10,October,28,5,Friday,43,0
20161029,2016-10-29,2016,4,10,October,29,6,Saturday,43,1
20161030,2016-10-30,2016,4,10,October,30,7,Sunday,43,1
20161031,2016-10-31,2016,4,10,October,31,1,Monday,44,0
20161101,2016-11-01,2016,4,11,November,1,2,Tuesday,44,0
20161102,2016-11-02,2016,4,11,November,2,3,Wednesday,44,0
20161103,2016-11-03,2016,4,11,November,3,4,Thursday,44,0
20161104,2016-11-04,2016,4,11,November,4,5,Friday,44,0
20161105,2016-11-05,2016,4,11,November,5,6,Saturday,44,1
20161106,2016-11-06,2016,4,11,November,6,7,Sunday,44,1
20161107,2016-11-07,2016,4,11,November,7,1,Monday,45,0
20161108,2016-11-08,2016,4,11,November,8,2,Tuesday,45,0
20161109,2016-11-09,2016,4,11,November,9,3,Wednesday,45,0
20161110,2016-11-10,2016,4,11,November,10,4,Thursday,45,0
20161111,2016-11-11,2016,4,11,November,11,5,Friday,45,0
20161112,2016-11-12,2016,4,11,November,12,6,Saturday,45,1
20161113,2016-11-13,2016,4,11,November,13,7,Sunday,45,1
20161114,2016-11-14,2016,4,11,November,14,1,Monday,46,0
20161115,2016-11-15,2016,4,11,November,15,2,Tuesday,46,0
20161116,2016-11-16,2016,4,11,November,16,3,Wednesday,46,0
20161117,2016-11-17,2016,4,11,November,17,4,Thursday,46,0
20161118,2016-11-18,2016,4,11,November,18,5,Friday,46,0
20161119,2016-11-19,2016,4,11,November,19,6,Saturday,46,1
20161120,2016-11-20,2016,4,11,November,20,7,Sunday,46,1
20161121,2016-11-21,2016,4,11,November,21,1,Monday,47,0
20161122,2016-11-22,2016,4,11,November,22,2,Tuesday,47,0
20161123,2016-11-23,2016,4,11,November,23,3,Wednesday,47,0
20161124,2016-11-24,2016,4,11,November,24,4,Thursday,47,0
20161125,2016-11-25,2016,4,11,November,25,5,Friday,47,0
20161126,2016-11-26,2016,4,11,November,26,6,Saturday,47,1
20161127,2016-11-27,2016,4,11,November,27,7,Sunday,47,1
20161128,2016-11-28,2016,4,11,November,28,1,Monday,48,0
20161129,2016-11-29,2016,4,11,November,29,2,Tuesday,48,0
20161130,2016-11-30,2016,4,11,November,30,3,Wednesday,48,0
20161201,2016-12-01,2016,4,12,December,1,4,Thursday,48,0
20161202,2016-12-02,2016,4,12,December,2,5,Friday,48,0
20161203,2016-12-03,2016,4,12,December,3,6,Saturday,48,1
20161204,2016-12-04,2016,4,12,December,4,7,Sunday,48,1
20161205,2016-12-05,2016,4,12,December,5,1,Monday,49,0
20161206,2016-12-06,2016,4,12,December,6,2,Tuesday,49,0
20161207,2016-12-07,2016,4,12,December,7,3,Wednesday,49,0
20161208,2016-12-08,2016,4,12,December,8,4,Thursday,49,0
20161209,2016-12-09,2016,4,12,December,9,5,Friday,49,0
20161210,2016-12-10,2016,4,12,December,10,6,Saturday,49,1
20161211,2016-12-11,2016,4,12,December,11,7,Sunday,49,1
20161212,2016-12-12,2016,4,12,December,12,1,Monday,50,0
20161213,2016-12-13,2016,4,12,December,13,2,Tuesday,50,0
20161214,2016-12-14,2016,4,12,December,14,3,Wednesday,50,0
20161215,2016-12-15,2016,4,12,December,15,4,Thursday,50,0
20161216,2016-12-16,2016,4,12,December,16,5,Friday,50,0
20161217,2016-12-17,2016,4,12,December,17,6,Saturday,50,1
20161218,2016-12-18,2016,4,12,December,18,7,Sunday,50,1
20161219,2016-12-19,2016,4,12,December,19,1,Monday,51,0
20161220,2016-12-20,2016,4,12,December,20,2,Tuesday,51,0
20161221,2016-12-21,2016,4,12,December,21,3,Wednesday,51,0
20161222,2016-12-22,2016,4,12,December,22,4,Thursday,51,0
20161223,2016-12-23,2016,4,12,December,23,5,Friday,51,0
20161224,2016-12-24,2016,4,12,December,24,6,Saturday,51,1
20161225,2016-12-25,2016,4,12,December,25,7,Sunday,51,1
20161226,2016-12-26,2016,4,12,December,26,1,Monday,52,0
20161227,2016-12-27,2016,4,12,December,27,2,Tuesday,52,0
20161228,2016-12-28,2016,4,12,December,28,3,Wednesday,52,0
20161229,2016-12-29,2016,4,12,December,29,4,Thursday,52,0
20161230,2016-12-30,2016,4,12,December,30,5,Friday,52,0
20161231,2016-12-31,2016,4,12,December,31,6,Saturday,52,1
20170101,2017-01-01,2017,1,1,January,1,7,Sunday,52,1
20170102,2017-01-02,2017,1,1,January,2,1,Monday,1,0
